wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
6694212	Bevel Gear	Cat 785C	41	Waiting Part	31	79.5	
6694215	Torque Convertor	Cat D9R	41	Waiting Part	19	55	
6694219	Wheel Bearing	Cat 785C	41	Tear Down	3	47	
6694222	Wheel Bearing	Cat 785C	41	Waiting Execution		35	
6694225	Pump Drive Box	Cat 785C	36	Waiting Completion	18	19	
6694229	Torque Convertor	Cat D9R	41	Waiting Execution			
6694232	Steering Clutch/Brk	Cat D9R	41	Waiting Part	14	39	
6694278	Final Drive	Cat 785C	41	Waiting Part	45.5	69	
6694281	Final Drive	Cat 785C	41	Testing	41	48	
6694283	Final Drive	Cat 785C	41	Waiting Assembly	25	37	
6694285	Final Drive	Cat 777D	41	Waiting Inspection	15	54	
6694288	Final Drive	Cat 777D	41	Waiting Inspection	9	39	
6694289	Final Drive	Cat 777D	41	Waiting Inspection	8.5	27	
6699051	Final Drive	Cat 785C	37	Waiting Completion	37		
6699598	Final Drive	Cat 785C	37	Waiting Completion	81	69	
6699601	Final Drive	Cat 785C	37	Waiting Completion	48	48	
6699603	Final Drive	Cat 785C	37	Assembly	35	37	
6702566	Transmission	Cat D10T	35	Waiting Part	83		
6703312	Wheel Bearing	Cat 785C	34	MPI	25	47	
6703317	Wheel Bearing	Cat 785C	34	Waiting Part	14	35	
6703324	Transmission	Cat D8R	34	Waiting Part	58.5	125	
6703349	Wheel Bearing	Cat 785C	34	Waiting Submit Part	27	47	
6703350	Wheel Bearing	Cat 785C	34	Waiting Part	14	35	
6703695	Torque Convertor	Cat 773E	34	Waiting Part	31	70	
6703699	Convertor Scav Pump	Cat 773E	34	Waiting Part	8	22	
6703706	Bevel Gear	Cat 777D	34	Waiting MPI	11	45	
6703710	Bevel Gear	Cat 777D	34	Waiting MPI	10.5	21	
6703856	Wheel Bearing	Cat 785C	34	Waiting Execution		47	
6703860	Wheel Bearing	Cat 785C	34	Waiting Execution		35	
6703864	Final Drive	Cat 785C	34	Waiting MPI	27.5	69	
6703869	Final Drive	Cat 785C	34	Waiting Part	17	48	
6703871	Final Drive	Cat 785C	34	Waiting MPI	15	37	
6703874	Final Drive	Cat 777D	34	Waiting Execution		54	
6703877	Final Drive	Cat 777D	34	Waiting Execution		39	
6703882	Final Drive	Cat 777D	34	Waiting Execution		27	
6703898	Circle Drive Box	Cat 16M	34	Waiting Execution			
6703902	Final Drive	Cat 785C	33	Waiting Execution		69	
6703905	Final Drive	Cat 785C	33	Waiting Execution		48	
6703910	Final Drive	Cat 785C	33	Waiting Execution		37	
6703913	Wheel Bearing	Cat 785C	33	Waiting Part	31.5	47	
6703916	Wheel Bearing	Cat 785C	33	Waiting Part	15	35	
6703919	Wheel Bearing	Cat 785C	33	Waiting Part	28	47	
6703921	Wheel Bearing	Cat 785C	33	Waiting Part	18		
6703936	Brake	Cat 14M	33	Waiting Part	18	34	
6703938	Bevel Gear	Cat 785C	33	Waiting MPI	27	79.5	
6703947	Final Drive	Cat 777D	33	Waiting Part	33	54	
6703950	Final Drive	Cat 777D	33	Waiting Part	17	39	
6703951	Final Drive	Cat 777D	33	Waiting Part	17.5	27	
6703954	Final Drive	Cat 777D	33	Waiting Part	33	54	
6703955	Final Drive	Cat 777D	33	Waiting Part	18	39	
6703958	Final Drive	Cat 777D	33	Waiting Part	18.5	27	
6704565	Engine	Cat D8R	33	Inspection	161	361	
6704566	Injection Pump	Cat D8R	33	Waiting Execution			
6704569	Fan Pulley Brgs	Cat D8R	33	Inspection	7	11	
